DATE,MRTSSM4451USN
1992-01-01,27306
1992-02-01,26223
1992-03-01,27235
1992-04-01,27588
1992-05-01,28883
1992-06-01,28039
1992-07-01,29479
1992-08-01,28645
1992-09-01,27475
1992-10-01,28583
1992-11-01,27620
1992-12-01,30294
1993-01-01,27571
1993-02-01,25748
1993-03-01,27911
1993-04-01,28112
1993-05-01,29096
1993-06-01,28576
1993-07-01,30067
1993-08-01,28470
1993-09-01,28022
1993-10-01,28532
1993-11-01,28081
1993-12-01,31132
1994-01-01,27889
1994-02-01,26175
1994-03-01,29261
1994-04-01,28529
1994-05-01,29402
1994-06-01,29721
1994-07-01,30344
1994-08-01,29792
1994-09-01,29102
1994-10-01,29079
1994-11-01,29077
1994-12-01,32152
1995-01-01,28629
1995-02-01,26762
1995-03-01,29708
1995-04-01,29086
1995-05-01,30388
1995-06-01,30229
1995-07-01,30654
1995-08-01,30434
1995-09-01,29378
1995-10-01,29068
1995-11-01,29619
1995-12-01,32454
1996-01-01,29172
1996-02-01,28191
1996-03-01,30245
1996-04-01,29344
1996-05-01,31364
1996-06-01,30470
1996-07-01,31377
1996-08-01,31747
1996-09-01,29495
1996-10-01,30674
1996-11-01,31014
1996-12-01,32454
1997-01-01,30534
1997-02-01,27985
1997-03-01,31513
1997-04-01,29853
1997-05-01,32412
1997-06-01,30527
1997-07-01,32232
1997-08-01,32032
1997-09-01,30142
1997-10-01,31319
1997-11-01,31032
1997-12-01,32989
1998-01-01,30679
1998-02-01,27947
1998-03-01,30501
1998-04-01,30826
1998-05-01,32456
1998-06-01,31215
1998-07-01,33067
1998-08-01,32220
1998-09-01,31005
1998-10-01,32214
1998-11-01,31377
1998-12-01,34681
1999-01-01,31516
1999-02-01,29413
1999-03-01,32451
1999-04-01,31948
1999-05-01,33727
1999-06-01,32568
1999-07-01,34568
1999-08-01,32944
1999-09-01,32624
1999-10-01,32935
1999-11-01,32510
1999-12-01,37046
2000-01-01,31336
2000-02-01,30515
2000-03-01,33216
2000-04-01,33004
2000-05-01,34085
2000-06-01,33880
2000-07-01,34517
2000-08-01,34225
2000-09-01,33324
2000-10-01,33190
2000-11-01,33969
2000-12-01,37254
2001-01-01,33236
2001-02-01,31488
2001-03-01,34856
2001-04-01,33685
2001-05-01,36068
2001-06-01,35215
2001-07-01,35418
2001-08-01,35919
2001-09-01,34379
2001-10-01,34847
2001-11-01,35308
2001-12-01,37708
2002-01-01,34533
2002-02-01,32024
2002-03-01,35863
2002-04-01,33190
2002-05-01,36478
2002-06-01,34933
2002-07-01,35885
2002-08-01,36025
2002-09-01,33610
2002-10-01,34885
2002-11-01,35649
2002-12-01,36738
2003-01-01,35384
2003-02-01,32440
2003-03-01,35265
2003-04-01,34854
2003-05-01,37057
2003-06-01,35212
2003-07-01,37108
2003-08-01,36644
2003-09-01,34697
2003-10-01,35870
2003-11-01,35786
2003-12-01,37670
2004-01-01,36475
2004-02-01,33701
2004-03-01,35892
2004-04-01,35876
2004-05-01,37733
2004-06-01,36362
2004-07-01,38170
2004-08-01,36607
2004-09-01,36360
2004-10-01,37004
2004-11-01,36876
2004-12-01,40080
2005-01-01,37176
2005-02-01,34286
2005-03-01,38210
2005-04-01,36908
2005-05-01,38742
2005-06-01,38219
2005-07-01,39289
2005-08-01,38627
2005-09-01,37844
2005-10-01,38251
2005-11-01,38354
2005-12-01,41761
2006-01-01,37489
2006-02-01,35506
2006-03-01,38827
2006-04-01,38269
2006-05-01,40341
2006-06-01,39569
2006-07-01,40357
2006-08-01,40340
2006-09-01,38766
2006-10-01,39322
2006-11-01,39989
2006-12-01,42924
2007-01-01,39649
2007-02-01,37150
2007-03-01,40815
2007-04-01,39244
2007-05-01,42207
2007-06-01,41279
2007-07-01,41619
2007-08-01,41896
2007-09-01,40191
2007-10-01,40924
2007-11-01,41910
2007-12-01,44476
2008-01-01,41864
2008-02-01,39915
2008-03-01,42590
2008-04-01,40966
2008-05-01,44549
2008-06-01,42299
2008-07-01,44057
2008-08-01,44010
2008-09-01,41378
2008-10-01,42811
2008-11-01,42751
2008-12-01,44032
2009-01-01,42942
2009-02-01,38522
2009-03-01,41312
2009-04-01,41781
2009-05-01,44034
2009-06-01,42147
2009-07-01,43839
2009-08-01,42995
2009-09-01,41538
2009-10-01,43020
2009-11-01,42508
2009-12-01,45395
2010-01-01,42985
2010-02-01,40061
2010-03-01,43434
2010-04-01,42236
2010-05-01,44607
2010-06-01,42877
2010-07-01,44559
2010-08-01,43431
2010-09-01,42642
2010-10-01,43536
2010-11-01,43724
2010-12-01,46658
2011-01-01,44282
2011-02-01,41229
2011-03-01,45068
2011-04-01,45586
2011-05-01,46318
2011-06-01,45883
2011-07-01,47171
2011-08-01,46448
2011-09-01,44877
2011-10-01,45725
2011-11-01,46046
2011-12-01,48843
2012-01-01,45462
2012-02-01,44174
2012-03-01,47408
2012-04-01,45754
2012-05-01,48420
2012-06-01,47217
2012-07-01,47473
2012-08-01,48047
2012-09-01,46047
2012-10-01,46975
2012-11-01,47310
2012-12-01,49358
2013-01-01,47094
2013-02-01,43863
2013-03-01,48910
2013-04-01,45367
2013-05-01,49616
2013-06-01,47840
2013-07-01,48871
2013-08-01,49388
2013-09-01,46600
2013-10-01,48395
2013-11-01,49026
2013-12-01,50506
2014-01-01,49275
2014-02-01,45225
2014-03-01,49148
2014-04-01,48847
2014-05-01,51911
2014-06-01,49596
2014-07-01,51528
2014-08-01,51466
2014-09-01,49003
2014-10-01,51196
2014-11-01,51168
2014-12-01,53135
2015-01-01,51645
2015-02-01,47165
2015-03-01,51222
2015-04-01,50114
2015-05-01,53189
2015-06-01,50889
2015-07-01,53016
2015-08-01,51991
2015-09-01,50082
2015-10-01,51794
2015-11-01,51133
2015-12-01,53846
2016-01-01,51806
2016-02-01,48743
2016-03-01,52250
2016-04-01,50538
2016-05-01,53050
2016-06-01,52330
2016-07-01,53381
2016-08-01,52475
2016-09-01,51407
2016-10-01,52659
2016-11-01,52780
2016-12-01,56452
2017-01-01,52566
2017-02-01,49226
2017-03-01,54383
2017-04-01,53651
2017-05-01,55724
2017-06-01,54202
2017-07-01,55165
2017-08-01,55082
2017-09-01,54135
2017-10-01,54543
2017-11-01,55415
2017-12-01,59086
2018-01-01,54857
2018-02-01,50910
2018-03-01,57291
2018-04-01,53595
2018-05-01,57800
2018-06-01,56066
2018-07-01,56700
2018-08-01,56986
2018-09-01,54918
2018-10-01,56064
2018-11-01,56784
2018-12-01,59358
2019-01-01,57392
2019-02-01,51505
2019-03-01,57486
2019-04-01,56318
2019-05-01,59932
2019-06-01,58025
2019-07-01,59654
2019-08-01,60065
2019-09-01,56088
2019-10-01,58132
2019-11-01,59091
2019-12-01,60682
2020-01-01,58230
2020-02-01,55239
2020-03-01,73003
2020-04-01,63454
2020-05-01,67331
2020-06-01,62806
2020-07-01,65575
2020-08-01,63141
2020-09-01,60565
2020-10-01,62506
2020-11-01,62454
2020-12-01,65444
2021-01-01,63171
2021-02-01,57543
2021-03-01,63134
2021-04-01,62163
2021-05-01,66336
2021-06-01,64865
2021-07-01,67187
2021-08-01,66583
2021-09-01,65263
2021-10-01,67795
2021-11-01,67280
2021-12-01,71845
2022-01-01,68099
2022-02-01,62607
